Year,District,Crime_Type,Count
2014,Ariyalur,Murder,300
2014,Ariyalur,Assault,1000
2014,Ariyalur,Theft,1000
2014,Ariyalur,Robbery,300
2014,Ariyalur,Kidnapping,300
2014,Ariyalur,Cyber Crime,500
2014,Ariyalur,Road Accident Deaths,141
2014,Ariyalur,Economic Crime,800
2014,Chennai,Murder,300
2014,Chennai,Assault,1000
2014,Chennai,Theft,1000
2014,Chennai,Robbery,300
2014,Chennai,Kidnapping,300
2014,Chennai,Cyber Crime,500
2014,Chennai,Road Accident Deaths,858
2014,Chennai,Economic Crime,800
2014,Coimbatore,Murder,300
2014,Coimbatore,Assault,1000
2014,Coimbatore,Theft,1000
2014,Coimbatore,Robbery,300
2014,Coimbatore,Kidnapping,300
2014,Coimbatore,Cyber Crime,500
2014,Coimbatore,Road Accident Deaths,521
2014,Coimbatore,Economic Crime,800
2014,Coimbatore  City,Murder,300
2014,Coimbatore  City,Assault,1000
2014,Coimbatore  City,Theft,1000
2014,Coimbatore  City,Robbery,300
2014,Coimbatore  City,Kidnapping,300
2014,Coimbatore  City,Cyber Crime,500
2014,Coimbatore  City,Road Accident Deaths,204
2014,Coimbatore  City,Economic Crime,800
2014,Cuddalore,Murder,300
2014,Cuddalore,Assault,1000
2014,Cuddalore,Theft,1000
2014,Cuddalore,Robbery,300
2014,Cuddalore,Kidnapping,300
2014,Cuddalore,Cyber Crime,500
2014,Cuddalore,Road Accident Deaths,462
2014,Cuddalore,Economic Crime,800
2014,Dharmapuri,Murder,300
2014,Dharmapuri,Assault,1000
2014,Dharmapuri,Theft,1000
2014,Dharmapuri,Robbery,300
2014,Dharmapuri,Kidnapping,300
2014,Dharmapuri,Cyber Crime,500
2014,Dharmapuri,Road Accident Deaths,271
2014,Dharmapuri,Economic Crime,800
2014,Dindigul,Murder,300
2014,Dindigul,Assault,1000
2014,Dindigul,Theft,1000
2014,Dindigul,Robbery,300
2014,Dindigul,Kidnapping,300
2014,Dindigul,Cyber Crime,500
2014,Dindigul,Road Accident Deaths,447
2014,Dindigul,Economic Crime,800
2014,Erode,Murder,300
2014,Erode,Assault,1000
2014,Erode,Theft,1000
2014,Erode,Robbery,300
2014,Erode,Kidnapping,300
2014,Erode,Cyber Crime,500
2014,Erode,Road Accident Deaths,434
2014,Erode,Economic Crime,800
2014,Kanchipuram,Murder,300
2014,Kanchipuram,Assault,1000
2014,Kanchipuram,Theft,1000
2014,Kanchipuram,Robbery,300
2014,Kanchipuram,Kidnapping,300
2014,Kanchipuram,Cyber Crime,500
2014,Kanchipuram,Road Accident Deaths,205
2014,Kanchipuram,Economic Crime,800
2014,Kanyakumari,Murder,300
2014,Kanyakumari,Assault,1000
2014,Kanyakumari,Theft,1000
2014,Kanyakumari,Robbery,300
2014,Kanyakumari,Kidnapping,300
2014,Kanyakumari,Cyber Crime,500
2014,Kanyakumari,Road Accident Deaths,270
2014,Kanyakumari,Economic Crime,800
2014,Karur,Murder,300
2014,Karur,Assault,1000
2014,Karur,Theft,1000
2014,Karur,Robbery,300
2014,Karur,Kidnapping,300
2014,Karur,Cyber Crime,500
2014,Karur,Road Accident Deaths,345
2014,Karur,Economic Crime,800
2014,Krishnagiri,Murder,300
2014,Krishnagiri,Assault,1000
2014,Krishnagiri,Theft,1000
2014,Krishnagiri,Robbery,300
2014,Krishnagiri,Kidnapping,300
2014,Krishnagiri,Cyber Crime,500
2014,Krishnagiri,Road Accident Deaths,477
2014,Krishnagiri,Economic Crime,800
2014,Madurai,Murder,300
2014,Madurai,Assault,1000
2014,Madurai,Theft,1000
2014,Madurai,Robbery,300
2014,Madurai,Kidnapping,300
2014,Madurai,Cyber Crime,500
2014,Madurai,Road Accident Deaths,465
2014,Madurai,Economic Crime,800
2014,Madurai City,Murder,300
2014,Madurai City,Assault,1000
2014,Madurai City,Theft,1000
2014,Madurai City,Robbery,300
2014,Madurai City,Kidnapping,300
2014,Madurai City,Cyber Crime,500
2014,Madurai City,Road Accident Deaths,133
2014,Madurai City,Economic Crime,800
2014,Nagapattinam,Murder,300
2014,Nagapattinam,Assault,1000
2014,Nagapattinam,Theft,1000
2014,Nagapattinam,Robbery,300
2014,Nagapattinam,Kidnapping,300
2014,Nagapattinam,Cyber Crime,500
2014,Nagapattinam,Road Accident Deaths,193
2014,Nagapattinam,Economic Crime,800
2014,Namakkal,Murder,300
2014,Namakkal,Assault,1000
2014,Namakkal,Theft,1000
2014,Namakkal,Robbery,300
2014,Namakkal,Kidnapping,300
2014,Namakkal,Cyber Crime,500
2014,Namakkal,Road Accident Deaths,363
2014,Namakkal,Economic Crime,800
2014,Nilgiris,Murder,300
2014,Nilgiris,Assault,1000
2014,Nilgiris,Theft,1000
2014,Nilgiris,Robbery,300
2014,Nilgiris,Kidnapping,300
2014,Nilgiris,Cyber Crime,500
2014,Nilgiris,Road Accident Deaths,28
2014,Nilgiris,Economic Crime,800
2014,Perambalur,Murder,300
2014,Perambalur,Assault,1000
2014,Perambalur,Theft,1000
2014,Perambalur,Robbery,300
2014,Perambalur,Kidnapping,300
2014,Perambalur,Cyber Crime,500
2014,Perambalur,Road Accident Deaths,144
2014,Perambalur,Economic Crime,800
2014,Pudukottai,Murder,300
2014,Pudukottai,Assault,1000
2014,Pudukottai,Theft,1000
2014,Pudukottai,Robbery,300
2014,Pudukottai,Kidnapping,300
2014,Pudukottai,Cyber Crime,500
2014,Pudukottai,Road Accident Deaths,316
2014,Pudukottai,Economic Crime,800
2014,Ramnathapuram,Murder,300
2014,Ramnathapuram,Assault,1000
2014,Ramnathapuram,Theft,1000
2014,Ramnathapuram,Robbery,300
2014,Ramnathapuram,Kidnapping,300
2014,Ramnathapuram,Cyber Crime,500
2014,Ramnathapuram,Road Accident Deaths,279
2014,Ramnathapuram,Economic Crime,800
2014,Railway Chennai,Murder,300
2014,Railway Chennai,Assault,1000
2014,Railway Chennai,Theft,1000
2014,Railway Chennai,Robbery,300
2014,Railway Chennai,Kidnapping,300
2014,Railway Chennai,Cyber Crime,500
2014,Railway Chennai,Road Accident Deaths,0
2014,Railway Chennai,Economic Crime,800
2014,Railway Trichy,Murder,300
2014,Railway Trichy,Assault,1000
2014,Railway Trichy,Theft,1000
2014,Railway Trichy,Robbery,300
2014,Railway Trichy,Kidnapping,300
2014,Railway Trichy,Cyber Crime,500
2014,Railway Trichy,Road Accident Deaths,0
2014,Railway Trichy,Economic Crime,800
2014,Salem,Murder,300
2014,Salem,Assault,1000
2014,Salem,Theft,1000
2014,Salem,Robbery,300
2014,Salem,Kidnapping,300
2014,Salem,Cyber Crime,500
2014,Salem,Road Accident Deaths,491
2014,Salem,Economic Crime,800
2014,Salem City,Murder,300
2014,Salem City,Assault,1000
2014,Salem City,Theft,1000
2014,Salem City,Robbery,300
2014,Salem City,Kidnapping,300
2014,Salem City,Cyber Crime,500
2014,Salem City,Road Accident Deaths,129
2014,Salem City,Economic Crime,800
2014,Sivagangai,Murder,300
2014,Sivagangai,Assault,1000
2014,Sivagangai,Theft,1000
2014,Sivagangai,Robbery,300
2014,Sivagangai,Kidnapping,300
2014,Sivagangai,Cyber Crime,500
2014,Sivagangai,Road Accident Deaths,281
2014,Sivagangai,Economic Crime,800
2014,Thanjavur,Murder,300
2014,Thanjavur,Assault,1000
2014,Thanjavur,Theft,1000
2014,Thanjavur,Robbery,300
2014,Thanjavur,Kidnapping,300
2014,Thanjavur,Cyber Crime,500
2014,Thanjavur,Road Accident Deaths,366
2014,Thanjavur,Economic Crime,800
2014,Theni,Murder,300
2014,Theni,Assault,1000
2014,Theni,Theft,1000
2014,Theni,Robbery,300
2014,Theni,Kidnapping,300
2014,Theni,Cyber Crime,500
2014,Theni,Road Accident Deaths,198
2014,Theni,Economic Crime,800
2014,Thirunelveli,Murder,300
2014,Thirunelveli,Assault,1000
2014,Thirunelveli,Theft,1000
2014,Thirunelveli,Robbery,300
2014,Thirunelveli,Kidnapping,300
2014,Thirunelveli,Cyber Crime,500
2014,Thirunelveli,Road Accident Deaths,233
2014,Thirunelveli,Economic Crime,800
2014,Thirunelveli City,Murder,300
2014,Thirunelveli City,Assault,1000
2014,Thirunelveli City,Theft,1000
2014,Thirunelveli City,Robbery,300
2014,Thirunelveli City,Kidnapping,300
2014,Thirunelveli City,Cyber Crime,500
2014,Thirunelveli City,Road Accident Deaths,66
2014,Thirunelveli City,Economic Crime,800
2014,Thiruvallur,Murder,300
2014,Thiruvallur,Assault,1000
2014,Thiruvallur,Theft,1000
2014,Thiruvallur,Robbery,300
2014,Thiruvallur,Kidnapping,300
